x,y,z,m
-2.025,-2,3.033494853902059e-4,a
-1.825,-2,6.551639816487877e-4,a
-1.625,-2,0.00130621060703457,a
-1.4249999999999998,-2,0.00240399101460805,a
-1.225,-2,0.00408421800434631,a
-1.025,-2,0.00640532886441465,a
-0.8249999999999998,-2,0.00927321631531522,a
-0.6249999999999999,-2,0.01239298118619354,a
-0.42499999999999993,-2,0.01528894898686366,a
-0.22499999999999995,-2,0.01741148905744256,a
-0.025,-2,0.01830419519095678,a
0.17500000000000018,-2,0.01776322446826411,a
0.37500000000000033,-2,0.0159129028316055,a
0.5750000000000001,-2,0.01315932034414936,a
0.7750000000000002,-2,0.0100455553101334,a
0.975,-2,0.00707898318166159,a
1.1750000000000005,-2,0.00460494294106426,a
1.3750000000000004,-2,0.00276524787679183,a
1.5750000000000002,-2,0.00153285234715988,a
1.7750000000000004,-2,7.84373694521946e-4,a
1.975,-2,3.7051189814206605e-4,a
-2.025,-1.8,6.486449911098248e-4,a
-1.825,-1.8,0.00140092156248561,a
-1.625,-1.8,0.00279303907998274,a
-1.4249999999999998,-1.8,0.00514039682082441,a
-1.225,-1.8,0.00873318623801868,a
-1.025,-1.8,0.01369636239523974,a
-0.8249999999999998,-1.8,0.01982869793456166,a
-0.6249999999999999,-1.8,0.0264996169715021,a
-0.42499999999999993,-1.8,0.0326919960549995,a
-0.22499999999999995,-1.8,0.03723057301496999,a
-0.025,-1.8,0.03913942531215513,a
0.17500000000000018,-1.8,0.03798268047983636,a
0.37500000000000033,-1.8,0.03402618172389852,a
0.5750000000000001,-1.8,0.02813826176979459,a
0.7750000000000002,-1.8,0.0214801720413438,a
0.975,-1.8,0.01513682140264389,a
1.1750000000000005,-1.8,0.00984663998762239,a
1.3750000000000004,-1.8,0.0059128637787233,a
1.5750000000000002,-1.8,0.0032776617234647,a
1.7750000000000004,-1.8,0.00167720761897951,a
1.975,-1.8,7.92256781208319e-4,a
-2.025,-1.6,0.00128034590407449,a
-1.825,-1.6,0.00276524787679184,a
-1.625,-1.6,0.00551311764522734,a
-1.4249999999999998,-1.6,0.01014651481945349,a
-1.225,-1.6,0.01723824184664647,a
-1.025,-1.6,0.02703494474452219,a
-0.8249999999999998,-1.6,0.03913942531215513,a
-0.6249999999999999,-1.6,0.05230700385268404,a
-0.42499999999999993,-1.6,0.06453000303512914,a
-0.22499999999999995,-1.6,0.07348859903242905,a
-0.025,-1.6,0.07725644007595972,a
0.17500000000000018,-1.6,0.07497316720957306,a
0.37500000000000033,-1.6,0.06716352241762989,a
0.5750000000000001,-1.6,0.05554148833106884,a
0.7750000000000002,-1.6,0.04239923327688755,a
0.975,-1.6,0.029878234703428,a
1.1750000000000005,-1.6,0.01943606340885772,a
1.3750000000000004,-1.6,0.0116712701465339,a
1.5750000000000002,-1.6,0.00646970348973105,a
1.7750000000000004,-1.6,0.0033106027714309,a
1.975,-1.6,0.00156381801863567,a
-2.025,-1.4,0.00233294234281713,a
-1.825,-1.4,0.00503861014404235,a
-1.625,-1.4,0.0100455553101334,a
-1.4249999999999998,-1.4,0.01848815541096714,a
-1.225,-1.4,0.03141012455445296,a
-1.025,-1.4,0.04926088108651252,a
-0.8249999999999998,-1.4,0.07131668269775807,a
-0.6249999999999999,-1.4,0.09530957511207448,a
-0.42499999999999993,-1.4,0.11758133171956552,a
-0.22499999999999995,-1.4,0.13390495791134888,a
-0.025,-1.4,0.14077041191364906,a
0.17500000000000018,-1.4,0.1366100174973844,a
0.37500000000000033,-1.4,0.12237991689761296,a
0.5750000000000001,-1.4,0.10120319008971068,a
0.7750000000000002,-1.4,0.07725644007595976,a
0.975,-1.4,0.05444169317559635,a
1.1750000000000005,-1.4,0.03541481654286173,a
1.3750000000000004,-1.4,0.02126644075843595,a
1.5750000000000002,-1.4,0.01178856836159105,a
1.7750000000000004,-1.4,0.00603231155044918,a
1.975,-1.4,0.00284946221214549,a
-2.025,-1.2,0.0039240735257717,a
-1.825,-1.2,0.00847508157833253,a
-1.625,-1.2,0.01689690178822387,a
-1.4249999999999998,-1.2,0.03109758859317681,a
-1.225,-1.2,0.05283269798107577,a
-1.025,-1.2,0.08285816403604299,a
-0.8249999999999998,-1.2,0.11995663218243124,a
-0.6249999999999999,-1.2,0.160313340619562,a
-0.42499999999999993,-1.2,0.19777505104072585,a
-0.22499999999999995,-1.2,0.2252318416386544,a
-0.025,-1.2,0.2367797250982592,a
0.17500000000000018,-1.2,0.2297818266564492,a
0.37500000000000033,-1.2,0.2058464039896369,a
0.5750000000000001,-1.2,0.17022656396862568,a
0.7750000000000002,-1.2,0.1299474683250694,a
0.975,-1.2,0.0915724332177762,a
1.1750000000000005,-1.2,0.05956870063410692,a
1.3750000000000004,-1.2,0.03577074136637261,a
1.5750000000000002,-1.2,0.01982869793456165,a
1.7750000000000004,-1.2,0.01014651481945349,a
1.975,-1.2,0.00479287422760086,a
-2.025,-1,0.00609293728943496,a
-1.825,-1,0.01315932034414937,a
-1.625,-1,0.02623594137705229,a
-1.4249999999999998,-1,0.04828545028692141,a
-1.225,-1,0.08203371152864568,a
-1.025,-1,0.12865446941136027,a
-0.8249999999999998,-1,0.1862575286979702,a
-0.6249999999999999,-1,0.2489196812036605,a
-0.42499999999999993,-1,0.3070867493923829,a
-0.22499999999999995,-1,0.3497191063509408,a
-0.025,-1,0.3676495883571968,a
0.17500000000000018,-1,0.3567839009321892,a
0.37500000000000033,-1,0.3196191973793099,a
0.5750000000000001,-1,0.26431201465646675,a
0.7750000000000002,-1,0.20177037209560844,a
0.975,-1,0.14218517807388836,a
1.1750000000000005,-1,0.0924927514719186,a
1.3750000000000004,-1,0.0555414883310688,a
1.5750000000000002,-1,0.03078816241667469,a
1.7750000000000004,-1,0.01575456680289767,a
1.975,-1,0.00744193041061281,a
-2.025,-0.7999999999999998,0.00873318623801868,a
-1.825,-0.7999999999999998,0.01886164092489159,a
-1.625,-0.7999999999999998,0.03760474649440978,a
-1.4249999999999998,-0.7999999999999998,0.0692089561915355,a
-1.225,-0.7999999999999998,0.11758133171956556,a
-1.025,-0.7999999999999998,0.1844042353219563,a
-0.8249999999999998,-0.7999999999999998,0.2669683945661175,a
-0.6249999999999999,-0.7999999999999998,0.35678390093218937,a
-0.42499999999999993,-0.7999999999999998,0.4401564707258223,a
-0.22499999999999995,-0.7999999999999998,0.5012626819665594,a
-0.025,-0.7999999999999998,0.5269629692433712,a
0.17500000000000018,-0.7999999999999998,0.5113888598476894,a
